ticker,negative,neutral,positive,fact,opinion
CSX,8,2,5,4,11
ISRG,3,0,6,0,9
TXN,12,3,4,4,15
APD,0,1,7,1,7
AAPL,54,64,88,62,144
DOCN,2,0,6,1,7
GBCI,0,1,3,2,2
WRB,1,4,4,4,5
OCFC,0,2,1,2,1
SMCI,2,13,26,15,26
VG,0,1,3,2,2
SOFI,3,2,4,4,5
BFST,0,1,4,2,3
NCLH,1,3,4,1,7
CNX,2,2,0,0,4
NTRS,0,2,8,2,8
OXY,6,1,1,0,8
PLD,5,5,11,6,15
HYMTF,3,0,2,1,4
FCX,5,0,4,3,6
CRM,4,22,22,14,34
APLS,0,2,3,2,3
NEP,4,2,2,4,4
COF,3,5,11,9,10
DWTX,0,1,5,0,6
CHSN,5,1,0,1,5
LYTS,1,2,2,3,2
HFWA,1,1,3,1,4
WKSP,3,0,5,0,8
WK,3,1,1,2,3
COSM,1,1,3,2,3
ELV,4,1,5,4,6
META,11,8,44,16,47
FCCO,0,1,4,2,3
APH,0,1,9,2,8
AA,2,2,9,4,9
DFS,2,0,8,2,8
KMI,4,7,13,12,12
PLTR,5,28,16,8,41
ALLY,4,2,3,1,8
PII,6,1,2,2,7
VEEV,2,3,10,5,10
FCNCA,3,2,3,3,5
TSLA,49,113,179,104,237
CACI,1,0,7,1,7
NFLX,7,14,71,20,72
HBT,1,0,4,1,4
NEE,4,1,4,2,7
TXT,6,2,2,2,8
VZ,7,3,4,5,9
JNJ,5,6,12,4,19
AXP,2,0,17,2,17
CATY,5,9,1,7,8
BKR,4,0,6,5,5
HXL,1,0,7,1,7
DIS,3,32,15,10,40
LEN,8,2,3,3,10
WNS,3,2,0,2,3
UNP,0,1,4,1,4
HZO,3,5,2,6,4
CMA,6,4,6,3,13
HAL,2,2,1,2,3
STFS,6,0,0,0,6
BLBX,0,0,3,0,3
STX,4,5,9,4,14
UAL,1,0,8,2,7
CRNC,4,0,5,1,8
AMZN,5,9,14,6,22
GDDFF,1,1,3,1,4
CNS,0,3,1,2,2
BY,1,2,0,1,2
EWJ,6,17,10,9,24
IXN,10,23,28,22,39
BAC,39,80,96,69,146
BTCUSD,49,185,157,128,263
GOOG,3,30,37,12,58
USDXUSD,43,53,35,50,81
SPY,250,599,434,404,879
MSFT,13,8,22,9,34
ORCL,9,18,16,16,27
SNOW,3,4,15,8,14
QGEN,0,2,3,3,2
AGYS,0,1,3,2,2
ABT,0,1,17,4,14
SLG,2,3,5,5,5
WSBC,1,2,2,2,3
FBK,2,1,2,2,3
V,1,1,20,2,20
CBU,0,0,5,1,4
HGAS,5,3,4,1,11
GOEV,5,1,0,1,5
WSM,2,2,9,2,11
FSLR,10,1,8,4,15
SCHW,1,2,13,3,13
RDDT,1,2,17,3,17
DHI,4,1,5,3,7
MMM,7,5,13,9,16
KEY,4,0,6,3,7
AEE,0,0,4,0,4
GOOGL,16,26,44,30,56
GM,6,5,10,3,18
NRG,1,1,7,3,6
CFG,1,2,10,6,7
FITB,3,4,7,3,11
SF,1,3,1,4,1
TDY,0,3,2,4,1
INDA,14,22,14,16,34
GXC,41,74,36,48,103
JSTC,11,14,6,10,21
IYE,6,18,2,4,22
NVDA,39,137,109,85,200
IEV,13,22,13,15,33
ASEA,30,56,33,32,87
TEMPUSD,0,7,6,2,11
TRV,1,1,12,4,10
PRGS,0,1,4,1,4
TFC,5,2,6,5,8
ONB,1,1,3,0,5
PPA,0,2,19,3,18
XRPUSD,11,13,7,8,23
WIT,2,2,3,2,5
AAAU,41,68,35,42,102
TSM,3,10,42,13,42
SBTCUSD,2,11,3,5,11
KYN,0,5,0,3,2
EIS,4,4,6,2,12
QEM.TO,3,5,0,3,5
UBS,7,44,29,21,59
GAS.TO,2,5,4,5,6
ETHI.TO,1,7,3,2,9
SPYB,3,17,1,8,13
AMD,27,25,25,22,55
PSJ,0,5,4,2,7
VITL,1,2,6,3,6
OUT,0,3,1,2,2
WBS,2,1,2,1,4
COIN,0,0,8,3,5
AMAT,7,6,10,6,17
PCYO,5,2,1,0,8
FAST,10,2,2,6,8
ADP,0,2,3,1,4
RHE-PA,0,1,5,0,6
HBAN,0,2,8,4,6
SLB,8,2,14,3,21
STT,3,3,13,3,16
JBHT,6,1,3,2,8
LLY,3,0,11,1,13
CVLT,1,2,1,2,2
AESI,0,0,4,1,3
SNAP,10,6,16,5,27
RF,2,4,8,6,8
FHN,1,1,3,3,2
BOKF,0,1,4,1,4
INDB,1,0,4,3,2
OZK,1,0,4,3,2
JOBY,3,2,7,4,8
BILL,2,2,4,4,4
INFY,0,1,4,2,3
ESTC,6,4,12,5,17
IBKR,3,6,6,11,4
PNC,0,1,2,0,3
MTB,0,2,13,3,12
NEOG,1,0,4,3,2
MS,8,40,30,20,58
USB,2,8,8,6,12
UNH,2,3,12,10,7
RLI,3,0,2,2,3
DJT,11,4,1,6,10
FC,6,3,6,5,10
HEI,4,5,9,4,14
BK,1,0,4,1,4
SNV,0,1,9,1,9
HOMB,0,0,5,1,4
AIR,2,4,3,4,5
BLK,2,7,15,3,21
GS,20,57,63,46,94
HSDT,1,1,2,1,3
CVGW,1,1,3,3,2
WFC,6,8,23,10,27
C,12,51,36,34,65
SPOT,3,1,12,4,12
EXEL,2,2,15,5,14
S,3,1,12,1,15
CHNA,8,8,2,5,13
NOKIA.PA,0,5,3,0,8
VWA.BR,9,12,9,6,24
PFE,9,8,6,5,18
JPN,3,15,4,7,15
SGOL,3,7,2,6,6
ROKU,4,3,2,2,7
SOTK,1,1,3,1,4
HCAT,0,1,4,1,4
MA,1,2,6,6,3
AGX,0,1,4,3,2
JPM,8,27,32,22,45
ACCD,3,2,4,5,4
DASH,0,0,3,0,3
ENPH,7,0,0,3,4
SEMR,1,0,6,1,6
RUM,2,0,7,1,8
WDFC,1,1,3,1,4
ISRA,0,5,8,3,10
DRIV,1,5,1,1,6
SPGM,14,17,12,17,26
ACES,1,8,6,4,11
QUS.TO,2,6,3,1,10
BP,7,1,3,3,8
DAL,8,4,6,2,16
PENG,2,1,2,0,5
IRTC,0,0,5,2,3
HON,4,3,10,3,14
SNPS,4,0,5,0,9
KLAC,2,0,8,1,9
ONTO,0,0,4,0,4
LZ,1,0,3,0,4
CART,3,0,20,6,17
PYPL,8,5,17,9,21
PSX,3,0,6,1,8
BRKR,3,3,4,2,8
BUD,2,1,2,1,4
HUC.TO,40,42,24,26,80
AIA,21,41,25,29,58
BMRPF,1,0,4,2,3
MVST,2,1,2,2,3
ZYBT,0,0,4,1,3
SNX,3,0,2,1,4
NKE,10,4,13,3,24
LULU,2,1,8,4,7
VRNT,2,3,8,6,7
MCY,4,0,1,1,4
JSAIY,1,1,3,2,3
GH,0,0,4,0,4
XTIA,0,1,3,1,3
WBA,10,1,3,3,11
STZ,1,2,2,2,3
GORO,2,0,2,2,2
TSCDY,1,1,3,1,4
DECK,0,0,8,1,7
GPN,3,0,1,0,4
CBOE,1,1,13,2,13
HLIT,2,0,2,0,4
CHKP,0,0,3,1,2
MSM,1,1,3,1,4
