ticker,negative,neutral,positive,fact,opinion,volume,conviction,extremity
CSX,8,2,5,4,11,15,0.7333,0.5
ISRG,3,0,2,0,5,5,1.0,1.0
TXN,9,2,3,3,11,14,0.7857,0.5
APD,0,0,3,0,3,3,1.0,1.0
AAPL,14,2,8,4,20,24,0.8333,0.5
DOCN,0,0,4,1,3,4,0.75,1.0
GBCI,0,1,3,2,2,4,0.5,1.0
WRB,1,2,2,3,2,5,0.4,0.5
OCFC,0,2,1,2,1,3,0.3333,0.5
SMCI,0,1,4,2,3,5,0.6,1.0
VG,0,1,3,2,2,4,0.5,1.0
SOFI,2,2,1,4,1,5,0.2,0.5
BFST,0,1,4,2,3,5,0.6,1.0
NCLH,0,1,3,1,3,4,0.75,1.0
CNX,2,2,0,2,2,4,0.5,0.5
NTRS,0,2,8,3,7,10,0.7,0.5
OXY,2,1,1,1,3,4,0.75,1.0
PLD,5,5,8,7,11,18,0.6111,0.2
HYMTF,3,0,2,1,4,5,0.8,1.0
FCX,5,0,4,3,6,9,0.6667,1.0
CRM,1,2,1,3,1,4,0.25,0.5
APLS,0,2,3,3,2,5,0.4,0.5
NEP,4,2,2,5,3,8,0.375,0.5
COF,2,4,8,7,7,14,0.5,0.25
DWTX,0,1,5,1,5,6,0.8333,1.0
CHSN,5,1,0,1,5,6,0.8333,1.0
LYTS,1,2,2,4,1,5,0.2,0.5
HFWA,1,1,3,1,4,5,0.8,1.0
WKSP,1,0,3,0,4,4,1.0,1.0
WK,3,1,1,3,2,5,0.4,1.0
COSM,1,1,3,2,3,5,0.6,1.0
ELV,2,0,3,2,3,5,0.6,1.0
META,2,2,14,8,10,18,0.5556,0.5
FCCO,0,1,4,2,3,5,0.6,1.0
APH,0,1,4,2,3,5,0.6,1.0
AA,1,2,5,3,5,8,0.625,0.5
DFS,2,0,8,2,8,10,0.8,1.0
KMI,3,4,8,8,7,15,0.4667,0.25
PLTR,0,0,4,0,4,4,1.0,1.0
ALLY,2,0,2,1,3,4,0.75,1.0
PII,2,1,2,2,3,5,0.6,1.0
VEEV,1,1,3,3,2,5,0.4,1.0
FCNCA,2,2,1,3,2,5,0.4,0.5
TSLA,1,12,16,18,11,29,0.3793,0.0833
CACI,0,0,4,1,3,4,0.75,1.0
NFLX,2,13,44,18,41,59,0.6949,0.0769
HBT,1,0,4,1,4,5,0.8,1.0
NEE,1,1,3,2,3,5,0.6,1.0
TXT,3,1,1,2,3,5,0.6,1.0
VZ,2,2,1,4,1,5,0.2,0.5
JNJ,5,4,10,6,13,19,0.6842,0.25
AXP,0,0,5,0,5,5,1.0,1.0
CATY,3,6,1,7,3,10,0.3,0.1667
BKR,4,0,6,5,5,10,0.5,1.0
HXL,1,0,3,1,3,4,0.75,1.0
DIS,2,22,11,23,12,35,0.3429,0.0455
LEN,1,1,2,3,1,4,0.25,1.0
WNS,3,2,0,3,2,5,0.4,0.5
UNP,0,1,4,2,3,5,0.6,1.0
HZO,3,5,2,8,2,10,0.2,0.2
CMA,1,1,2,1,3,4,0.75,1.0
HAL,2,2,1,2,3,5,0.6,0.5
STFS,6,0,0,0,6,6,1.0,1.0
BLBX,0,0,3,0,3,3,1.0,1.0
STX,2,5,7,7,7,14,0.5,0.2
UAL,0,0,4,0,4,4,1.0,1.0
CRNC,0,0,4,0,4,4,1.0,1.0
AMZN,0,0,3,0,3,3,1.0,1.0
GDDFF,1,1,3,2,3,5,0.6,1.0
CNS,0,3,1,4,0,4,0.0,0.3333
BY,1,2,0,2,1,3,0.3333,0.5
EWJ,1,3,1,3,2,5,0.4,0.3333
IXN,1,1,6,4,4,8,0.5,1.0
BAC,6,13,18,17,20,37,0.5405,0.0769
BTCUSD,10,27,25,35,27,62,0.4355,0.037
GOOG,1,4,13,8,10,18,0.5556,0.25
USDXUSD,15,9,6,16,14,30,0.4667,0.1111
SPY,30,83,51,112,52,164,0.3171,0.012
MSFT,0,5,7,7,5,12,0.4167,0.2
ORCL,0,12,7,14,5,19,0.2632,0.0833
SNOW,0,2,3,2,3,5,0.6,0.5
QGEN,0,2,3,3,2,5,0.4,0.5
AGYS,0,1,3,2,2,4,0.5,1.0
ABT,0,1,3,2,2,4,0.5,1.0
SLG,2,2,1,3,2,5,0.4,0.5
WSBC,1,2,2,2,3,5,0.6,0.5
FBK,2,1,2,2,3,5,0.6,1.0
V,1,0,4,1,4,5,0.8,1.0
CBU,0,0,5,1,4,5,0.8,1.0
HGAS,5,3,4,4,8,12,0.6667,0.3333
GOEV,5,1,0,1,5,6,0.8333,1.0
WSM,0,2,3,2,3,5,0.6,0.5
FSLR,1,1,2,2,2,4,0.5,1.0
SCHW,0,1,8,2,7,9,0.7778,1.0
RDDT,0,2,2,3,1,4,0.25,0.5
DHI,4,1,5,4,6,10,0.6,1.0
MMM,0,1,4,3,2,5,0.4,1.0
KEY,4,0,6,3,7,10,0.7,1.0
AEE,0,0,4,0,4,4,1.0,1.0
GOOGL,2,1,1,1,3,4,0.75,1.0
GM,0,0,4,1,3,4,0.75,1.0
NRG,1,0,3,1,3,4,0.75,1.0
CFG,1,1,2,2,2,4,0.5,1.0
FITB,1,2,1,3,1,4,0.25,0.5
SF,1,3,1,4,1,5,0.2,0.3333
TDY,0,3,2,4,1,5,0.2,0.3333
INDA,3,3,1,3,4,7,0.5714,0.3333
GXC,4,12,6,16,6,22,0.2727,0.0833
JSTC,2,2,0,3,1,4,0.25,0.5
IYE,6,18,2,19,7,26,0.2692,0.0556
NVDA,7,35,4,40,6,46,0.1304,0.0286
IEV,2,3,3,5,3,8,0.375,0.3333
ASEA,7,4,5,6,10,16,0.625,0.25
TEMPUSD,0,7,6,9,4,13,0.3077,0.1429
TRV,1,1,3,4,1,5,0.2,1.0
PRGS,0,1,4,2,3,5,0.6,1.0
TFC,2,0,2,0,4,4,1.0,1.0
ONB,1,1,3,1,4,5,0.8,1.0
PPA,0,2,15,4,13,17,0.7647,0.5
XRPUSD,3,1,1,3,2,5,0.4,1.0
WIT,2,2,3,4,3,7,0.4286,0.5
AAAU,3,3,1,4,3,7,0.4286,0.3333
TSM,0,5,11,10,6,16,0.375,0.2
SBTCUSD,2,11,3,12,4,16,0.25,0.0909
KYN,0,5,0,5,0,5,0.0,0.2
EIS,4,3,0,5,2,7,0.2857,0.3333
QEM.TO,3,5,0,6,2,8,0.25,0.2
UBS,0,4,2,4,2,6,0.3333,0.25
GAS.TO,1,3,2,4,2,6,0.3333,0.3333
ETHI.TO,1,7,3,8,3,11,0.2727,0.1429
SPYB,1,7,0,7,1,8,0.125,0.1429
AMD,4,4,0,4,4,8,0.5,0.25
PSJ,0,5,4,6,3,9,0.3333,0.2
VITL,0,2,3,4,1,5,0.2,0.5
OUT,0,3,1,3,1,4,0.25,0.3333
WBS,2,1,2,2,3,5,0.6,1.0
COIN,0,0,5,3,2,5,0.4,1.0
AMAT,0,1,4,2,3,5,0.6,1.0
PCYO,3,1,1,1,4,5,0.8,1.0
FAST,7,1,1,3,6,9,0.6667,1.0
ADP,0,2,3,3,2,5,0.4,0.5
RHE-PA,0,1,5,1,5,6,0.8333,1.0
HBAN,0,0,5,2,3,5,0.6,1.0
SLB,1,0,8,1,8,9,0.8889,1.0
STT,2,2,10,3,11,14,0.7857,0.5
JBHT,5,0,0,0,5,5,1.0,1.0
LLY,3,0,7,1,9,10,0.9,1.0
CVLT,1,2,1,2,2,4,0.5,0.5
AESI,0,0,4,1,3,4,0.75,1.0
SNAP,4,0,0,0,4,4,1.0,1.0
RF,0,0,4,2,2,4,0.5,1.0
FHN,1,1,3,3,2,5,0.4,1.0
BOKF,0,1,4,2,3,5,0.6,1.0
INDB,1,0,4,3,2,5,0.4,1.0
OZK,1,0,4,3,2,5,0.4,1.0
JOBY,3,1,1,2,3,5,0.6,1.0
BILL,1,2,1,3,1,4,0.25,0.5
INFY,0,1,4,2,3,5,0.6,1.0
ESTC,3,1,0,2,2,4,0.5,1.0
IBKR,0,4,1,5,0,5,0.0,0.25
PNC,0,1,2,1,2,3,0.6667,1.0
MTB,0,1,4,1,4,5,0.8,1.0
NEOG,1,0,4,3,2,5,0.4,1.0
MS,0,0,5,0,5,5,1.0,1.0
USB,1,3,6,4,6,10,0.6,0.3333
UNH,1,1,4,5,1,6,0.1667,1.0
RLI,3,0,2,2,3,5,0.6,1.0
DJT,3,1,0,2,2,4,0.5,1.0
